City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,huaicheng,23.9051,112.1931,21.47,92,100,2.31,CN,1684761429
133,frenda,35.0654,1.0495,22.43,18,14,2.03,DZ,1684761429
134,villa la angostura,-40.7617,-71.6463,2.11,96,100,1.85,AR,1684761429
135,padang,-0.9492,100.3543,26.44,87,78,1.18,ID,1684761351
136,college,64.8569,-147.8028,9.77,77,100,4.12,US,1684761429
137,gamboru,12.3707,14.2173,36.11,32,79,3.34,NG,1684761430
138,sabancuy,18.9667,-91.1833,25.94,75,80,2.2,MX,1684761430
139,talnakh,69.4865,88.3972,0.67,100,100,2.09,RU,1684761430
140,kenai,60.5544,-151.2583,1.75,93,20,2.06,US,1684761430
141,burang,30.25,81.1667,5.42,66,38,3.35,CN,1684761430
142,keflavik,64.0049,-22.5624,7.95,65,100,10.8,IS,1684761168
143,anse a galets,18.8317,-72.8642,27.31,72,1,1.21,HT,1684761430
144,chonchi,-42.6128,-73.8092,3.95,95,35,0.89,CL,1684761430
145,morehead city,34.7229,-76.726,21.69,80,0,4.12,US,1684761430
146,kayangel,8.0823,134.7173,29.09,74,35,3.53,PW,1684761143
147,namibe,-15.1961,12.1522,24.02,68,0,5.86,AO,1684761431
148,codrington,-38.2667,141.9667,12.0,76,100,3.77,AU,1684761431
149,west island,-12.1568,96.8225,27.99,78,11,2.06,CC,1684761431
150,kingston,17.997,-76.7936,30.13,72,20,3.09,JM,1684761431
151,fort stockton,30.894,-102.8793,18.98,82,0,3.6,US,1684761431
152,uige,-7.6087,15.0613,28.38,62,71,1.79,AO,1684761431
153,kuta,-8.7233,115.1723,26.49,77,37,5.44,ID,1684761431
154,vung tau,10.346,107.0843,28.89,78,64,6.87,VN,1684761431
155,halifax,44.6453,-63.5724,11.95,70,100,3.13,CA,1684760873
156,ribeira grande,38.5167,-28.7,19.87,77,75,5.66,PT,1684761431
157,afaahiti,-17.75,-149.2833,24.93,78,0,6.23,PF,1684761432
158,bredasdorp,-34.5322,20.0403,17.05,48,100,4.01,ZA,1684761432
159,lodeynoye pole,60.726,33.5531,18.14,57,100,2.87,RU,1684761432
160,qaqortoq,60.7167,-46.0333,2.87,98,100,6.55,GL,1684761432
161,saint john,45.2727,-66.0677,11.0,53,40,4.63,CA,1684761432
162,cafayate,-26.073,-65.9761,21.31,17,0,0.78,AR,1684761432
163,tiksi,71.6872,128.8694,-11.64,91,26,2.79,RU,1684761432
164,axum,14.1245,38.7244,30.16,14,42,0.39,ET,1684761432
165,al ghayzah,16.2079,52.176,31.29,61,96,7.57,YE,1684761432
166,atafu village,-8.5421,-172.5159,28.37,77,100,5.13,TK,1684761432
167,badger,64.8,-147.5333,9.73,79,100,4.12,US,1684761432
168,porto novo,6.4965,2.6036,31.9,65,96,4.51,BJ,1684761433
169,balabac,7.9868,117.0645,28.58,73,100,2.54,PH,1684761433
170,turbat,26.0023,63.044,38.17,34,67,9.05,PK,1684761433
171,paoua,7.2427,16.4406,36.88,31,22,1.96,CF,1684761433
172,pervomayskoye,43.919,46.7102,25.75,48,24,4.81,RU,1684761433
173,kavaratti,10.5669,72.642,29.94,70,96,4.08,IN,1684761433
174,pithora,21.2667,82.5167,37.73,15,5,4.98,IN,1684761433
175,camiri,-20.05,-63.5167,20.88,88,75,0.0,BO,1684761433
176,armacao de buzios,-22.7469,-41.8817,27.03,72,97,6.73,BR,1684761433
177,bodaybo,57.8506,114.1933,7.1,93,77,2.18,RU,1684761434
178,invercargill,-46.4,168.35,9.01,86,100,4.33,NZ,1684761434
179,stanley,54.868,-1.6985,17.93,65,40,4.12,GB,1684761352
180,port elizabeth,-33.918,25.5701,18.94,66,20,4.12,ZA,1684761434
181,zharkent,44.1628,80.0,23.45,25,11,7.26,KZ,1684761434
182,lorengau,-2.0226,147.2712,26.57,82,100,6.11,PG,1684761434
183,hithadhoo,-0.6,73.0833,28.85,70,87,1.85,MV,1684761434
184,nelson bay,-32.7167,152.15,12.78,84,0,2.24,AU,1684761434
185,nonsan,36.2039,127.0847,13.58,76,1,0.44,KR,1684761274
186,jindabyne,-36.4167,148.6333,4.01,68,99,1.7,AU,1684761435
187,mao,39.8885,4.2658,21.31,73,40,6.17,ES,1684761172
188,sinabang,2.4803,96.3801,27.01,84,66,3.39,ID,1684761435
189,vallenar,-28.5708,-70.7581,19.29,32,94,0.59,CL,1684761429
190,kone,-21.0595,164.8658,19.04,77,75,2.83,NC,1684761435
191,vilyuchinsk,52.9306,158.4028,2.15,90,100,6.71,RU,1684761435
192,trincomalee,8.5711,81.2335,29.06,75,6,4.33,LK,1684761435
193,porto velho,-8.7619,-63.9039,27.03,89,75,1.03,BR,1684761435
194,shalqar,47.8333,59.6,26.39,20,100,7.08,KZ,1684761435
195,prince rupert,54.3161,-130.3201,9.83,80,40,7.72,CA,1684761396
196,tynda,55.1667,124.7167,7.45,83,100,1.21,RU,1684761435
197,smithers,54.7804,-127.1743,8.18,71,40,1.03,CA,1684761436
198,argo,37.6333,22.7333,20.99,58,98,4.48,GR,1684761206
199,isafjordur,66.0755,-23.124,7.02,57,75,6.69,IS,1684761436
200,nzerekore,7.7562,-8.8179,34.32,42,57,0.53,GN,1684761436
201,sabang,5.8933,95.3214,28.94,73,39,4.48,ID,1684761436
202,thunder bay,48.4001,-89.3168,7.99,53,75,4.63,CA,1684761436
203,cuito,-12.3833,16.9333,24.57,37,100,2.77,AO,1684761436
204,mount pearl,47.5166,-52.7813,12.19,95,75,6.69,CA,1684761205
205,edremit,39.5961,27.0244,22.86,46,40,11.32,TR,1684761436
206,bulata,9.8599,122.4016,27.55,82,95,2.4,PH,1684761436
207,wailua homesteads,22.0669,-159.378,23.44,86,100,6.69,US,1684761436
208,suva,-18.1416,178.4415,23.71,94,40,1.03,FJ,1684761437
209,emerald,-23.5333,148.1667,11.91,61,0,2.45,AU,1684761437
210,tulun,54.5611,100.5792,14.18,49,94,2.95,RU,1684761437
211,port alfred,-33.5906,26.891,18.43,56,90,1.34,ZA,1684761186
212,tabas,33.5959,56.9244,35.02,14,31,4.8,IR,1684761332
213,villa emilio carranza,19.9667,-96.6,25.03,81,69,1.06,MX,1684761437
214,mirnyy,62.5353,113.9611,4.8,46,100,1.02,RU,1684761437
215,pass christian,30.3158,-89.2475,23.03,80,0,1.54,US,1684761437
216,knyaze-volkonskoye,48.4642,135.4567,12.19,72,4,2.11,RU,1684761437
217,san antonio de pale,-1.4014,5.6325,26.22,74,79,4.17,GQ,1684761437
218,ust-nera,64.5667,143.2,2.38,97,100,1.97,RU,1684761437
219,anadyr,64.75,177.4833,-1.72,100,100,1.0,RU,1684761438
220,morioka,39.7036,141.1525,12.28,75,100,2.0,JP,1684761438
221,touros,-5.1989,-35.4608,29.35,69,88,6.38,BR,1684761438
222,kill devil hills,36.0307,-75.676,20.0,81,0,3.6,US,1684761438
223,mizdah,31.4451,12.9801,27.44,16,0,1.72,LY,1684761438
224,ilha de mocambique,-15.0342,40.7358,27.07,72,97,4.77,MZ,1684761438
225,cidreira,-30.1811,-50.2056,18.59,79,100,1.11,BR,1684761438
226,akyazi,40.685,30.6222,20.1,78,77,3.46,TR,1684761438
227,mirador,-6.3708,-44.3631,29.32,53,22,4.51,BR,1684761438
228,amos,48.5669,-78.1162,4.7,30,9,0.36,CA,1684761438
229,port-vila,-17.7338,168.3219,23.55,96,100,7.51,VU,1684761439
230,bodo,67.28,14.405,18.02,48,0,5.66,NO,1684761439
231,dili,-8.5586,125.5736,25.33,77,18,2.56,TL,1684761439
232,aykhal,66.0,111.5,-0.02,79,100,3.15,RU,1684761440
233,kapuskasing,49.4169,-82.4331,5.0,56,20,3.6,CA,1684761440
234,haugesund,59.4138,5.268,14.31,81,0,5.14,NO,1684761440
235,vadso,70.0744,29.7487,14.49,54,0,8.75,NO,1684761440
236,horqueta,-23.3428,-57.0597,24.78,56,7,4.59,PY,1684761440
237,juneau,58.3019,-134.4197,9.01,100,100,0.0,US,1684761440
238,myskhako,44.6714,37.7433,18.88,88,84,1.23,RU,1684761441
239,ciurea,47.05,27.5667,24.32,36,0,4.12,RO,1684761300
240,brisas de zicatela,15.8369,-97.0419,27.29,83,75,4.12,MX,1684761441
241,shahrak,34.1074,64.3052,16.73,52,100,2.33,AF,1684761441
242,carnarvon,-24.8667,113.6333,22.03,58,22,3.46,AU,1684761441
243,turpan,42.9333,89.1667,28.42,25,100,10.12,CN,1684761441
244,ivdel',60.6911,60.4206,20.9,42,92,0.42,RU,1684761441
245,lerwick,60.1545,-1.1494,11.0,79,100,6.13,GB,1684761441
246,crane,31.3974,-102.3501,18.37,86,29,5.45,US,1684761441
247,barcelos,41.5388,-8.6151,27.18,40,100,4.73,PT,1684761360
248,kruisfontein,-34.0033,24.7314,17.71,53,100,4.83,ZA,1684761442
249,ilulissat,69.2167,-51.1,0.01,47,20,4.63,GL,1684761442
250,koungheul,13.9833,-14.8,38.95,10,7,3.9,SN,1684761442
251,horsham,51.064,-0.3272,18.73,56,40,6.69,GB,1684761442
252,naliya,23.2667,68.8333,30.37,67,100,8.46,IN,1684761442
253,geraldton,-28.7667,114.6,14.23,72,99,2.57,AU,1684761442
254,ghadamis,30.1337,9.5007,32.82,10,0,5.37,LY,1684761284
255,kapa'a,22.0752,-159.319,24.18,86,100,6.69,US,1684761442
256,chardara,41.2547,67.9692,29.27,23,85,5.3,KZ,1684761442
257,lospalos,-8.5186,127.0025,20.17,88,56,2.84,TL,1684761442
258,ben gardane,33.1378,11.2197,25.95,41,0,6.03,TN,1684761443
259,dongcun,36.7767,121.1597,17.63,35,0,1.91,CN,1684761443
260,nabire,-3.3667,135.4833,26.08,90,92,1.7,ID,1684761443
261,piti village,13.4626,144.6933,28.49,87,40,4.12,GU,1684761443
262,fortuna,40.5982,-124.1573,10.75,95,100,3.09,US,1684761443
263,balmazujvaros,47.6167,21.35,25.1,58,1,1.8,HU,1684761443
264,basco,20.4487,121.9702,29.05,83,7,8.63,PH,1684761443
265,puerto san jose,13.9256,-90.8244,27.59,72,100,2.45,GT,1684761444
266,yovon,38.3141,69.0378,30.82,29,69,1.85,TJ,1684761444
267,kidal,18.4411,1.4078,40.81,11,54,1.61,ML,1684761444
268,taranagar,28.6709,75.0351,42.44,12,6,6.06,IN,1684761191
269,nakhon thai,17.1006,100.8374,29.82,57,97,0.96,TH,1684761444
270,mahibadhoo,3.7833,72.9667,29.22,70,24,1.98,MV,1684761444
271,grande prairie,55.1667,-118.8027,13.1,94,100,0.0,CA,1684761445
272,alice springs,-23.7,133.8833,8.75,71,0,3.45,AU,1684761445
273,lazarevskoye,43.9061,39.3331,19.48,73,42,1.78,RU,1684761445
274,tralee,52.2704,-9.7026,16.14,59,40,3.09,IE,1684761445
275,changping,40.2186,116.2197,23.8,23,57,2.28,CN,1684761445
276,n'zeto,-7.2312,12.8666,27.21,72,67,4.14,AO,1684761445
277,diepholz,52.6,8.3667,25.8,64,75,2.06,DE,1684761446
278,pergamino,-33.89,-60.5736,16.7,94,100,3.46,AR,1684761446
279,ndende,-2.4008,11.3581,29.29,69,81,0.61,GA,1684761446
280,sur,22.5667,59.5289,35.31,43,11,1.97,OM,1684761446
281,ngerengere,-6.75,38.1167,28.66,58,23,3.27,TZ,1684761446
282,chernyshevskiy,63.0128,112.4714,3.91,51,100,1.55,RU,1684761446
283,farafangana,-22.8167,47.8333,25.01,72,0,3.84,MG,1684761446
284,baijiantan,45.6333,85.1833,23.76,27,12,8.56,CN,1684761447
285,kailua-kona,19.6406,-155.9956,23.98,96,100,3.6,US,1684761401
286,pitimbu,-7.4706,-34.8086,28.33,77,20,5.6,BR,1684761447
287,tabou,4.423,-7.3528,29.22,71,43,3.17,CI,1684761447
288,aitape,-3.1374,142.3475,26.13,85,100,1.49,PG,1684761447
289,iwon-up,40.3231,128.6553,13.0,83,100,3.5,KP,1684761447
290,galich,58.3797,42.3475,23.18,39,100,2.3,RU,1684761447
291,san juan nepomuceno,9.9516,-75.082,24.92,90,100,2.8,CO,1684761447
292,tazacorte,28.629,-17.9293,20.54,86,75,2.57,ES,1684761447
293,praia,14.9215,-23.5087,27.3,57,40,10.29,CV,1684761448
294,tamandare,-8.7597,-35.1047,27.85,73,22,3.12,BR,1684761171
295,laramie,41.3114,-105.5911,10.53,70,0,1.54,US,1684761236
296,nykarleby,63.5228,22.5307,20.08,48,100,3.4,FI,1684761448
297,port mathurin,-19.6833,63.4167,25.04,71,43,3.18,MU,1684761448
298,merowe,18.4833,31.8167,42.13,6,0,5.81,SD,1684761448
299,betio village,1.358,172.9211,26.02,75,71,2.81,KI,1684761448
300,nadym,65.5333,72.5167,15.74,46,13,5.47,RU,1684761179
301,mejit,10.2753,170.8646,27.81,81,100,6.36,MH,1684761448
302,sitka,57.0531,-135.33,8.94,76,75,2.57,US,1684761167
303,port moresby,-9.4431,147.1797,24.57,79,100,5.64,PG,1684761449
304,coracora,-15.0333,-73.7833,11.6,29,0,0.9,PE,1684761449
305,saipan,15.1355,145.701,28.39,100,75,6.69,MP,1684761449
306,midvagur,62.0511,-7.1939,9.46,76,75,6.69,FO,1684761449
307,urangan,-25.3,152.9,18.69,72,0,5.47,AU,1684761449
308,zigong,29.3416,104.7769,16.7,74,51,2.32,CN,1684761449
309,myeik,12.4333,98.6,28.24,78,44,4.04,MM,1684761450
310,colares,38.7992,-9.4469,23.81,64,40,9.83,PT,1684761450
311,mossel bay,-34.1831,22.146,17.96,53,100,4.66,ZA,1684761450
312,arvayheer,46.2639,102.775,11.78,20,100,3.75,MN,1684761450
313,burnie,-41.0667,145.9167,13.03,81,96,6.4,AU,1684761450
314,sandnessjoen,66.0217,12.6316,20.29,42,0,3.6,NO,1684761450
315,kitakata,37.65,139.8667,11.47,95,100,0.28,JP,1684761450
316,holualoa,19.6228,-155.9522,21.91,96,100,3.6,US,1684761450
